type	delta time	mode	trial	lickPos	result
entrance	19.15427	0x11	0	0	
entrance	19.17426	0x11	0	0	
entrance	19.19427	0x11	0	0	
entrance	19.21427	0x11	0	0	
entrance	19.23427	0x11	0	0	
entrance	19.25426	0x11	0	0	
entrance	19.27427	0x11	0	0	
entrance	19.29427	0x11	0	0	
entrance	19.31427	0x11	0	0	
entrance	19.33427	0x11	0	0	
entrance	19.35427	0x11	0	0	
entrance	19.37427	0x11	0	0	
entrance	19.39427	0x11	0	0	
entrance	19.41427	0x11	0	0	
entrance	19.43427	0x11	0	0	
entrance	19.45427	0x11	0	0	
entrance	19.47427	0x11	0	0	
entrance	19.49427	0x11	0	0	
entrance	19.51427	0x11	0	0	
entrance	19.53427	0x11	0	0	
entrance	19.55427	0x11	0	0	
entrance	19.57427	0x11	0	0	
entrance	19.59426	0x11	0	0	
entrance	19.61427	0x11	0	0	
entrance	19.63427	0x11	0	0	
entrance	19.65427	0x11	0	0	
entrance	19.67426	0x11	0	0	
entrance	19.69427	0x11	0	0	
entrance	19.71427	0x11	0	0	
entrance	19.73427	0x11	0	0	
entrance	19.75426	0x11	0	0	
entrance	19.77427	0x11	0	0	
entrance	19.79427	0x11	0	0	
entrance	19.81427	0x11	0	0	
entrance	19.83427	0x11	0	0	
entrance	19.85427	0x11	0	0	
entrance	19.87427	0x11	0	0	
entrance	19.89427	0x11	0	0	
entrance	19.91427	0x11	0	0	
entrance	19.93427	0x11	0	0	
entrance	19.95427	0x11	0	0	
entrance	19.97427	0x11	0	0	
entrance	19.99427	0x11	0	0	
entrance	20.01427	0x11	0	0	
entrance	20.03427	0x11	0	0	
entrance	20.05427	0x11	0	0	
entrance	20.07427	0x11	0	0	
entrance	20.09426	0x11	0	0	
entrance	20.11427	0x11	0	0	
entrance	20.13427	0x11	0	0	
entrance	20.15427	0x11	0	0	
entrance	20.17426	0x11	0	0	
entrance	20.19427	0x11	0	0	
entrance	20.21427	0x11	0	0	
entrance	20.23427	0x11	0	0	
entrance	20.25426	0x11	0	0	
entrance	20.27427	0x11	0	0	
entrance	20.29427	0x11	0	0	
entrance	20.31427	0x11	0	0	
entrance	20.33427	0x11	0	0	
entrance	20.35427	0x11	0	0	
entrance	20.37427	0x11	0	0	
entrance	20.39427	0x11	0	0	
entrance	20.41427	0x11	0	0	
entrance	20.43427	0x11	0	0	
entrance	20.45427	0x11	0	0	
entrance	20.47427	0x11	0	0	
entrance	20.49427	0x11	0	0	
entrance	20.51427	0x11	0	0	
entrance	20.53427	0x11	0	0	
entrance	20.55427	0x11	0	0	
entrance	20.57427	0x11	0	0	
entrance	20.59426	0x11	0	0	
entrance	20.61427	0x11	0	0	
entrance	20.63427	0x11	0	0	
entrance	20.65427	0x11	0	0	
entrance	20.67426	0x11	0	0	
entrance	20.69427	0x11	0	0	
entrance	20.71427	0x11	0	0	
entrance	20.73427	0x11	0	0	
entrance	20.75426	0x11	0	0	
entrance	20.77427	0x11	0	0	
entrance	20.79427	0x11	0	0	
entrance	20.81427	0x11	0	0	
entrance	20.83427	0x11	0	0	
entrance	20.85427	0x11	0	0	
entrance	20.87427	0x11	0	0	
entrance	20.89427	0x11	0	0	
entrance	20.91427	0x11	0	0	
entrance	20.93427	0x11	0	0	
entrance	20.95427	0x11	0	0	
entrance	20.97427	0x11	0	0	
entrance	20.99427	0x11	0	0	
entrance	21.01427	0x11	0	0	
entrance	21.03427	0x11	0	0	
entrance	21.05427	0x11	0	0	
entrance	21.07427	0x11	0	0	
entrance	21.09426	0x11	0	0	
entrance	21.11427	0x11	0	0	
entrance	21.13427	0x11	0	0	
entrance	21.15427	0x11	0	0	
entrance	21.17426	0x11	0	0	
entrance	21.19427	0x11	0	0	
entrance	21.21427	0x11	0	0	
entrance	21.23427	0x11	0	0	
entrance	21.25426	0x11	0	0	
entrance	21.27427	0x11	0	0	
entrance	21.29427	0x11	0	0	
entrance	21.31427	0x11	0	0	
entrance	21.33427	0x11	0	0	
entrance	21.35427	0x11	0	0	
entrance	21.37427	0x11	0	0	
entrance	21.39427	0x11	0	0	
entrance	21.41427	0x11	0	0	
entrance	21.43427	0x11	0	0	
entrance	21.45427	0x11	0	0	
entrance	21.47427	0x11	0	0	
entrance	21.49427	0x11	0	0	
entrance	21.51427	0x11	0	0	
entrance	21.53427	0x11	0	0	
entrance	21.55427	0x11	0	0	
entrance	21.57427	0x11	0	0	
entrance	21.59426	0x11	0	0	
entrance	21.61427	0x11	0	0	
entrance	21.63427	0x11	0	0	
entrance	21.65427	0x11	0	0	
entrance	21.67426	0x11	0	0	
entrance	21.69427	0x11	0	0	
entrance	21.71427	0x11	0	0	
entrance	21.73427	0x11	0	0	
entrance	21.75426	0x11	0	0	
entrance	21.77427	0x11	0	0	
entrance	21.79427	0x11	0	0	
entrance	21.81427	0x11	0	0	
entrance	21.83426	0x11	0	0	
entrance	21.85427	0x11	0	0	
entrance	21.87427	0x11	0	0	
entrance	21.89427	0x11	0	0	
entrance	21.91427	0x11	0	0	
entrance	21.93427	0x11	0	0	
entrance	21.95427	0x11	0	0	
entrance	21.95427	0x11	0	0	
entrance	21.97427	0x11	0	0	
entrance	22.01427	0x11	0	0	
entrance	22.03427	0x11	0	0	
entrance	22.05427	0x11	0	0	
entrance	22.07427	0x11	0	0	
entrance	22.09426	0x11	0	0	
entrance	22.11427	0x11	0	0	
entrance	22.13427	0x11	0	0	
entrance	22.15427	0x11	0	0	
entrance	22.17426	0x11	0	0	
entrance	22.19427	0x11	0	0	
entrance	22.21427	0x11	0	0	
entrance	22.23427	0x11	0	0	
entrance	22.25426	0x11	0	0	
entrance	22.27427	0x11	0	0	
entrance	22.29427	0x11	0	0	
entrance	22.31427	0x11	0	0	
entrance	22.33426	0x11	0	0	
entrance	22.35427	0x11	0	0	
entrance	22.37427	0x11	0	0	
entrance	22.39427	0x11	0	0	
entrance	22.41427	0x11	0	0	
entrance	22.43427	0x11	0	0	
entrance	22.45427	0x11	0	0	
entrance	22.47427	0x11	0	0	
entrance	22.49427	0x11	0	0	
entrance	22.51427	0x11	0	0	
entrance	22.53427	0x11	0	0	
entrance	22.55427	0x11	0	0	
entrance	22.57427	0x11	0	0	
entrance	22.59426	0x11	0	0	
entrance	22.61427	0x11	0	0	
entrance	22.63427	0x11	0	0	
entrance	22.65427	0x11	0	0	
entrance	22.67426	0x11	0	0	
entrance	22.69427	0x11	0	0	
entrance	22.71427	0x11	0	0	
entrance	22.73427	0x11	0	0	
entrance	22.75426	0x11	0	0	
entrance	22.77427	0x11	0	0	
entrance	22.79427	0x11	0	0	
entrance	22.81427	0x11	0	0	
entrance	22.83426	0x11	0	0	
entrance	22.85427	0x11	0	0	
entrance	22.87427	0x11	0	0	
entrance	22.89427	0x11	0	0	
entrance	22.91427	0x11	0	0	
entrance	22.93427	0x11	0	0	
entrance	22.95427	0x11	0	0	
entrance	22.97427	0x11	0	0	
entrance	22.99427	0x11	0	0	
entrance	23.01427	0x11	0	0	
entrance	23.03427	0x11	0	0	
entrance	23.05427	0x11	0	0	
entrance	23.07427	0x11	0	0	
entrance	23.09426	0x11	0	0	
entrance	23.11427	0x11	0	0	
entrance	23.13427	0x11	0	0	
entrance	23.15427	0x11	0	0	
entrance	23.17426	0x11	0	0	
entrance	23.19427	0x11	0	0	
entrance	23.21427	0x11	0	0	
entrance	23.23427	0x11	0	0	
entrance	23.25426	0x11	0	0	
entrance	23.27427	0x11	0	0	
entrance	23.29427	0x11	0	0	
entrance	23.31427	0x11	0	0	
entrance	23.33426	0x11	0	0	
entrance	23.35427	0x11	0	0	
entrance	23.37427	0x11	0	0	
entrance	23.39427	0x11	0	0	
entrance	23.41427	0x11	0	0	
entrance	23.43427	0x11	0	0	
entrance	23.45427	0x11	0	0	
entrance	23.47427	0x11	0	0	
entrance	23.49427	0x11	0	0	
entrance	23.51427	0x11	0	0	
entrance	23.53427	0x11	0	0	
entrance	23.55427	0x11	0	0	
entrance	23.57427	0x11	0	0	
entrance	23.59426	0x11	0	0	
entrance	23.61427	0x11	0	0	
entrance	23.63427	0x11	0	0	
entrance	23.65427	0x11	0	0	
entrance	23.67426	0x11	0	0	
entrance	23.69427	0x11	0	0	
entrance	23.71427	0x11	0	0	
entrance	23.73427	0x11	0	0	
entrance	23.75426	0x11	0	0	
entrance	23.77427	0x11	0	0	
entrance	23.79427	0x11	0	0	
entrance	23.81427	0x11	0	0	
entrance	23.83426	0x11	0	0	
entrance	23.85427	0x11	0	0	
