type	delta time	mode	trial	lickPos	result
start	7.557811	0x11	0	-1	
entrance	7.557811	0x11	0	1	
entrance	7.557811	0x11	0	0	
lick	12.35781	0x11	0	0	
end	12.35781	0x11	0	1	0
start	13.05781	0x11	1	-1	
entrance	13.05781	0x11	1	1	
entrance	13.05781	0x11	1	0	
lick	14.61781	0x11	1	0	
end	14.61781	0x11	1	0	1
start	15.25781	0x11	2	-1	
entrance	15.25781	0x11	2	1	
entrance	15.25781	0x11	2	0	
type	delta time	mode	trial	lickPos	result
start	6.611622	0x11	0	-1	
entrance	6.611622	0x11	0	1	
entrance	6.611622	0x11	0	0	
entrance	10.33162	0x11	0	1	
entrance	10.33162	0x11	0	0	
lick	13.21162	0x11	0	1	
end	13.21162	0x11	0	1	1
start	13.91162	0x11	1	-1	
entrance	13.91162	0x11	1	1	
entrance	13.91162	0x11	1	0	
entrance	91.22533	0x11	1	1	
entrance	91.22533	0x11	1	0	
lick	93.64533	0x11	1	0	
end	93.64533	0x11	1	0	1
start	107.4653	0x11	2	-1	
entrance	107.4653	0x11	2	1	
entrance	107.4653	0x11	2	0	
lick	109.1653	0x11	2	0	
end	109.1653	0x11	2	0	1
