type	delta time	mode	trial	lickPos	result
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
entrance	3.751462	0x11	0	0	
type	delta time	mode	trial	lickPos	result
entrance	4.680574	0x11	0	0	
entrance	4.700574	0x11	0	0	
entrance	4.740574	0x11	0	0	
entrance	4.740574	0x11	0	0	
entrance	4.780574	0x11	0	0	
entrance	4.800574	0x11	0	0	
entrance	4.800574	0x11	0	0	
entrance	4.820574	0x11	0	0	
entrance	4.860575	0x11	0	0	
entrance	4.860575	0x11	0	0	
entrance	4.900575	0x11	0	0	
entrance	4.900575	0x11	0	0	
entrance	4.920575	0x11	0	0	
entrance	4.940575	0x11	0	0	
entrance	4.980575	0x11	0	0	
entrance	4.980575	0x11	0	0	
entrance	5.020575	0x11	0	0	
entrance	5.020575	0x11	0	0	
entrance	5.060575	0x11	0	0	
entrance	5.060575	0x11	0	0	
entrance	5.080575	0x11	0	0	
entrance	5.120574	0x11	0	0	
entrance	5.140574	0x11	0	0	
entrance	5.140574	0x11	0	0	
entrance	5.180574	0x11	0	0	
entrance	5.180574	0x11	0	0	
entrance	5.200574	0x11	0	0	
start	6.600574	0x11	0	-1	
entrance	6.600574	0x11	0	1	
entrance	6.600574	0x11	0	0	
entrance	6.620574	0x11	0	0	
entrance	6.640574	0x11	0	0	
entrance	12.27487	0x11	0	0	
entrance	12.31487	0x11	0	0	
entrance	12.33487	0x11	0	0	
entrance	12.35487	0x11	0	0	
entrance	12.37487	0x11	0	0	
entrance	12.39487	0x11	0	0	
entrance	12.41487	0x11	0	0	
entrance	12.43487	0x11	0	0	
entrance	12.45487	0x11	0	0	
entrance	12.47487	0x11	0	0	
entrance	12.49487	0x11	0	0	
entrance	12.51487	0x11	0	0	
entrance	12.53487	0x11	0	0	
entrance	12.55487	0x11	0	0	
entrance	15.13487	0x11	0	0	
entrance	15.17487	0x11	0	0	
entrance	15.19487	0x11	0	0	
entrance	15.21487	0x11	0	0	
entrance	15.23487	0x11	0	0	
entrance	15.25487	0x11	0	0	
entrance	15.37487	0x11	0	0	
entrance	15.39487	0x11	0	0	
entrance	15.41487	0x11	0	0	
entrance	15.43487	0x11	0	0	
entrance	15.45487	0x11	0	0	
entrance	15.49487	0x11	0	0	
entrance	15.55487	0x11	0	0	
entrance	15.59487	0x11	0	0	
