type	delta time	mode	trial	lickPos	result
start	6.74388	0x11	0	-1	
entrance	6.74388	0x11	0	1	
entrance	6.74388	0x11	0	0	
lick	7.60388	0x11	0	0	
end	7.60388	0x11	0	0	1
entrance	8.22388	0x11	0	1	
entrance	8.22388	0x11	0	0	
start	9.58388	0x11	1	-1	
entrance	9.58388	0x11	1	1	
entrance	9.58388	0x11	1	0	
lick	10.96388	0x11	1	0	
end	10.96388	0x11	1	1	0
start	11.88388	0x11	2	-1	
entrance	11.88388	0x11	2	1	
entrance	11.88388	0x11	2	0	
lick	15.96388	0x11	2	0	
end	15.96388	0x11	2	1	0
start	17.02388	0x11	3	-1	
entrance	17.02388	0x11	3	1	
entrance	17.02388	0x11	3	0	
lick	17.82388	0x11	3	0	
end	17.82388	0x11	3	0	1
start	19.02388	0x11	4	-1	
entrance	19.02388	0x11	4	1	
entrance	19.02388	0x11	4	0	
lick	19.98388	0x11	4	1	
end	19.98388	0x11	4	1	1
entrance	20.60388	0x11	4	1	
entrance	20.60388	0x11	4	0	
start	22.24388	0x11	5	-1	
entrance	22.24388	0x11	5	1	
entrance	22.24388	0x11	5	0	
lick	23.84388	0x11	5	1	
end	23.84388	0x11	5	0	0
start	25.80388	0x11	6	-1	
entrance	25.80388	0x11	6	1	
entrance	25.80388	0x11	6	0	
lick	27.14388	0x11	6	1	
end	27.14388	0x11	6	1	1
entrance	27.76388	0x11	6	1	
entrance	27.76388	0x11	6	0	
start	32.32388	0x11	7	-1	
entrance	32.32388	0x11	7	1	
entrance	32.32388	0x11	7	0	
lick	33.50388	0x11	7	0	
end	33.50388	0x11	7	0	1
entrance	34.16388	0x11	7	1	
entrance	34.16388	0x11	7	0	
start	36.10388	0x11	8	-1	
entrance	36.10388	0x11	8	1	
entrance	36.10388	0x11	8	0	
lick	36.84388	0x11	8	0	
end	36.84388	0x11	8	1	0
entrance	39.54388	0x11	8	0	
entrance	39.56388	0x11	8	0	
entrance	39.58388	0x11	8	0	
entrance	39.60388	0x11	8	0	
entrance	39.62388	0x11	8	0	
entrance	39.64388	0x11	8	0	
entrance	39.66388	0x11	8	0	
entrance	39.68388	0x11	8	0	
entrance	39.70388	0x11	8	0	
entrance	39.72388	0x11	8	0	
entrance	39.74388	0x11	8	0	
entrance	39.76388	0x11	8	0	
entrance	39.78388	0x11	8	0	
entrance	39.80388	0x11	8	0	
entrance	39.82388	0x11	8	0	
entrance	39.84388	0x11	8	0	
entrance	39.86388	0x11	8	0	
entrance	39.88388	0x11	8	0	
entrance	39.90388	0x11	8	0	
entrance	39.92388	0x11	8	0	
entrance	39.94388	0x11	8	0	
entrance	39.96388	0x11	8	0	
entrance	39.98388	0x11	8	0	
entrance	40.00388	0x11	8	0	
entrance	40.02388	0x11	8	0	
entrance	40.04388	0x11	8	0	
entrance	40.06388	0x11	8	0	
entrance	40.08388	0x11	8	0	
entrance	40.10388	0x11	8	0	
entrance	40.12388	0x11	8	0	
entrance	40.50388	0x11	8	0	
entrance	40.52388	0x11	8	0	
entrance	40.54388	0x11	8	0	
entrance	40.56388	0x11	8	0	
entrance	42.44388	0x11	8	0	
entrance	42.46388	0x11	8	0	
entrance	42.48388	0x11	8	0	
entrance	42.78388	0x11	8	0	
