type	delta time	mode	trial	lickPos	result
start	8.296108	0x11	0	-1	
lick	9.196108	0x11	0	0	
entrance	10.61611	0x11	0	1	
entrance	10.61611	0x11	0	0	
entrance	12.31611	0x11	0	1	
entrance	12.31611	0x11	0	0	
lick	13.41611	0x11	0	0	
end	13.41611	0x11	0	0	1
entrance	14.63611	0x11	0	1	
entrance	14.63611	0x11	0	0	
start	16.15611	0x11	1	-1	
lick	16.95611	0x11	1	1	
entrance	31.71611	0x11	1	1	
entrance	31.71611	0x11	1	0	
lick	33.07611	0x11	1	1	
end	33.07611	0x11	1	1	1
entrance	34.63611	0x11	1	1	
entrance	34.63611	0x11	1	0	
start	36.15611	0x11	2	-1	
lick	36.83611	0x11	2	0	
