type	delta time	mode	trial	lickPos	result
start	6.529017	0x11	0	-1	
entrance	6.529017	0x11	0	1	
entrance	6.529017	0x11	0	0	
lick	9.029017	0x11	0	0	
end	9.029017	0x11	0	1	0
start	10.42902	0x11	1	-1	
entrance	10.42902	0x11	1	1	
entrance	10.42902	0x11	1	0	
lick	20.50902	0x11	1	0	
end	20.50902	0x11	1	0	1
start	21.96902	0x11	2	-1	
entrance	21.96902	0x11	2	1	
entrance	21.96902	0x11	2	0	
lick	23.04902	0x11	2	1	
end	23.04902	0x11	2	0	0
start	24.02902	0x11	3	-1	
entrance	24.02902	0x11	3	1	
entrance	24.02902	0x11	3	0	
lick	24.96902	0x11	3	0	
end	24.96902	0x11	3	1	0
start	25.88902	0x11	4	-1	
entrance	25.88902	0x11	4	1	
entrance	25.88902	0x11	4	0	
lick	26.70902	0x11	4	1	
end	26.70902	0x11	4	0	0
start	28.80902	0x11	5	-1	
entrance	28.80902	0x11	5	1	
entrance	28.80902	0x11	5	0	
lick	30.22902	0x11	5	1	
end	30.22902	0x11	5	1	1
start	31.78902	0x11	6	-1	
entrance	31.78902	0x11	6	1	
entrance	31.78902	0x11	6	0	
lick	33.34902	0x11	6	0	
end	33.34902	0x11	6	0	1
start	34.18902	0x11	7	-1	
entrance	34.18902	0x11	7	1	
entrance	34.18902	0x11	7	0	
lick	35.12902	0x11	7	1	
end	35.12902	0x11	7	1	1
start	36.32902	0x11	8	-1	
entrance	36.32902	0x11	8	1	
entrance	36.32902	0x11	8	0	
lick	39.96902	0x11	8	1	
end	39.96902	0x11	8	0	0
start	67.7757	0x11	9	-1	
entrance	67.7757	0x11	9	1	
entrance	67.7757	0x11	9	0	
lick	70.7757	0x11	9	0	
end	70.7757	0x11	9	1	0
start	669.9052	0x11	10	-1	
entrance	669.9052	0x11	10	1	
entrance	669.9052	0x11	10	0	
lick	683.4885	0x11	10	0	
end	683.4885	0x11	10	1	0
start	711.2701	0x11	11	-1	
entrance	711.2701	0x11	11	1	
entrance	711.2701	0x11	11	0	
lick	714.8502	0x11	11	0	
end	714.8502	0x11	11	0	1
