type	delta time	mode	trial	lickPos	result
entrance	239.129	0x11	0	0	
entrance	249.149	0x11	0	0	
entrance	249.429	0x11	0	0	
entrance	249.449	0x11	0	0	
entrance	249.469	0x11	0	0	
entrance	249.529	0x11	0	0	
entrance	438.549	0x11	0	0	
entrance	438.769	0x11	0	0	
entrance	438.789	0x11	0	0	
entrance	438.809	0x11	0	0	
entrance	438.829	0x11	0	0	
entrance	438.889	0x11	0	0	
entrance	438.909	0x11	0	0	
entrance	438.929	0x11	0	0	
entrance	438.949	0x11	0	0	
entrance	438.969	0x11	0	0	
entrance	438.989	0x11	0	0	
entrance	439.009	0x11	0	0	
entrance	439.029	0x11	0	0	
entrance	439.049	0x11	0	0	
entrance	439.089	0x11	0	0	
entrance	439.109	0x11	0	0	
entrance	439.129	0x11	0	0	
entrance	439.149	0x11	0	0	
entrance	439.169	0x11	0	0	
entrance	439.189	0x11	0	0	
entrance	439.209	0x11	0	0	
entrance	439.229	0x11	0	0	
entrance	439.249	0x11	0	0	
entrance	439.269	0x11	0	0	
entrance	439.289	0x11	0	0	
entrance	439.309	0x11	0	0	
entrance	439.329	0x11	0	0	
entrance	439.349	0x11	0	0	
entrance	439.389	0x11	0	0	
entrance	439.409	0x11	0	0	
entrance	439.429	0x11	0	0	
entrance	439.449	0x11	0	0	
entrance	439.469	0x11	0	0	
entrance	439.489	0x11	0	0	
entrance	439.509	0x11	0	0	
entrance	439.529	0x11	0	0	
entrance	439.709	0x11	0	0	
entrance	439.729	0x11	0	0	
entrance	439.749	0x11	0	0	
entrance	439.769	0x11	0	0	
entrance	439.789	0x11	0	0	
entrance	439.809	0x11	0	0	
entrance	439.829	0x11	0	0	
entrance	439.849	0x11	0	0	
entrance	439.869	0x11	0	0	
entrance	439.889	0x11	0	0	
entrance	439.909	0x11	0	0	
entrance	439.929	0x11	0	0	
entrance	439.949	0x11	0	0	
entrance	439.969	0x11	0	0	
entrance	439.989	0x11	0	0	
entrance	440.009	0x11	0	0	
entrance	440.029	0x11	0	0	
entrance	440.049	0x11	0	0	
entrance	440.069	0x11	0	0	
