type	delta time	mode	trial	lickPos	result
start	7.386452	0x11	0	-1	
entrance	7.386452	0x11	0	1	
entrance	7.386452	0x11	0	0	
lick	8.786451	0x11	0	0	
end	8.786451	0x11	0	0	1
entrance	11.30645	0x11	0	1	
entrance	11.30645	0x11	0	0	
entrance	13.48645	0x11	0	1	
entrance	13.48645	0x11	0	0	
entrance	27.58645	0x11	0	1	
entrance	27.58645	0x11	0	0	
entrance	28.52645	0x11	0	1	
entrance	28.52645	0x11	0	0	
entrance	29.06645	0x11	0	1	
entrance	29.06645	0x11	0	0	
entrance	29.56645	0x11	0	1	
entrance	29.56645	0x11	0	0	
entrance	30.00645	0x11	0	1	
entrance	30.00645	0x11	0	0	
entrance	83.82645	0x11	0	1	
entrance	83.82645	0x11	0	0	
entrance	85.96645	0x11	0	1	
entrance	85.96645	0x11	0	0	
entrance	104.5064	0x11	0	1	
entrance	104.5064	0x11	0	0	
